Age,Height,Sex_mapped,Overweight_Obese_Family_mapped,Consumption_of_Fast_Food_mapped,Frequency_of_Consuming_Vegetables_mapped,Number_of_Main_Meals_Daily_mapped,Food_Intake_Between_Meals_mapped,Smoking_mapped,Liquid_Intake_Daily_mapped,Calculation_of_Calorie_Intake_mapped,Physical_Excercise_mapped,Schedule_Dedicated_to_Technology_mapped,Type_of_Transportation_Used_mapped,Class_mapped
18,155,Female,No,No,Always,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
18,158,Female,No,No,Always,1 or 2 ,Rarely,No,Less than 1 Liter,No,No sports,More than 5 hourse per day,Bike,Normal
18,159,Female,No,No,Sometimes,1 or 2 ,Usually,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
18,162,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
18,165,Female,No,Yes,Sometimes,1 or 2 ,Usually,No,Less than 1 Liter,No,3-4 days per week,More than 5 hourse per day,Motorbike,Normal
18,176,Female,Yes,Yes,Rarely,1 or 2 ,Always,No,Between 1 and 2 Liters,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
19,152,Female,No,No,Always,1 or 2 ,Rarely,No,More than 2 Liters,No,1-2 days per week,More than 5 hourse per day,Motorbike,Normal
19,158,Female,No,No,Always,3,Always,No,Less than 1 Liter,Yes,No sports,More than 5 hourse per day,Bike,Normal
19,159,Female,No,No,Sometimes,3,Sometimes,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
19,162,Female,No,No,Sometimes,3,Sometimes,No,Between 1 and 2 Liters,Yes,1-2 days per week,More than 5 hourse per day,Public Transportation,Overweight
19,163,Female,No,No,Always,1 or 2 ,Usually,No,Between 1 and 2 Liters,No,3-4 days per week,More than 5 hourse per day,Public Transportation,Normal
19,163,Female,No,No,Sometimes,1 or 2 ,Rarely,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
19,165,Female,No,No,Always,1 or 2 ,Sometimes,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Normal
19,166,Female,No,Yes,Sometimes,1 or 2 ,Rarely,No,More than 2 Liters,No,No sports,More than 5 hourse per day,Bike,Normal
19,181,Female,Yes,No,Always,More than 3,Always,No,Less than 1 Liter,No,5-6 days per week,More than 5 hourse per day,Public Transportation,Normal
20,153,Female,No,No,Always,3,Sometimes,No,Between 1 and 2 Liters,No,No sports,More than 5 hourse per day,Public Transportation,Normal
20,155,Female,No,No,Always,3,Always,No,Less than 1 Liter,No,1-2 days per week,More than 5 hourse per day,Public Transportation,Overweight
